file_id	dataset	tech_reps	bio_reps	download_url	target_label	description	biosample
/files/ENCFF742LSD/	/experiments/ENCSR024LKA/	3_1,4_1	3,4	/files/ENCFF742LSD/@@download/ENCFF742LSD.bed.gz	HDAC3	K562	HDAC3 ChIP-seq on human K562
/files/ENCFF007ZUL/	/experiments/ENCSR798ILC/	1_1,2_1	1,2	/files/ENCFF007ZUL/@@download/ENCFF007ZUL.bed.gz	NCOR1	K562	NCOR1 ChIP-seq on human K562
/files/ENCFF247VVK/	/experiments/ENCSR864KNH/	1_1,2_1	1,2	/files/ENCFF247VVK/@@download/ENCFF247VVK.bed.gz	YBX1	MCF-7	YBX1 ChIP-seq on human MCF-7
/files/ENCFF328SSL/	/experiments/ENCSR283ZNI/	1_1,2_1	1,2	/files/ENCFF328SSL/@@download/ENCFF328SSL.bed.gz	ZBTB8A	K562	ZBTB8A ChIP-seq on human K562
/files/ENCFF508JRB/	/experiments/ENCSR509DOK/	1_1,2_1	1,2	/files/ENCFF508JRB/@@download/ENCFF508JRB.bed.gz	PPP1R10	MCF-7	PPP1R10 ChIP-seq on human MCF-7
/files/ENCFF084IUW/	/experiments/ENCSR189YYK/	1_1,2_1	1,2	/files/ENCFF084IUW/@@download/ENCFF084IUW.bed.gz	ZBTB40	GM12878	ZBTB40 ChIP-seq on human GM12878
/files/ENCFF217ZMF/	/experiments/ENCSR124AIG/	1_1,2_1	1,2	/files/ENCFF217ZMF/@@download/ENCFF217ZMF.bed.gz	FOS	IMR-90	FOS ChIP-seq on human IMR-90
/files/ENCFF922MYE/	/experiments/ENCSR400FSM/	1_1,2_1	1,2	/files/ENCFF922MYE/@@download/ENCFF922MYE.bed.gz	eGFP-POLR2H	K562 genetically modified using stable transfection	eGFP-POLR2H ChIP-seq on human K562
/files/ENCFF873SVI/	/experiments/ENCSR555PBN/	1_1,2_1	1,2	/files/ENCFF873SVI/@@download/ENCFF873SVI.bed.gz	MAFK	MCF-7	MAFK ChIP-seq on human MCF-7
/files/ENCFF171OJF/	/experiments/ENCSR000EEB/	1_1,2_1	1,2	/files/ENCFF171OJF/@@download/ENCFF171OJF.bed.gz	MAFK	HepG2	MAFK ChIP-seq on human HepG2
/files/ENCFF924KFU/	/experiments/ENCSR680OFU/	1_1,2_1	1,2	/files/ENCFF924KFU/@@download/ENCFF924KFU.bed.gz	EP300	HeLa-S3	EP300 ChIP-seq on human HeLa-S3
/files/ENCFF796VMI/	/experiments/ENCSR908CMW/	1_1,2_1	1,2	/files/ENCFF796VMI/@@download/ENCFF796VMI.bed.gz	KDM1A	K562	KDM1A ChIP-seq on human K562
/files/ENCFF475VMR/	/experiments/ENCSR130PDE/	1_1,2_1	1,2	/files/ENCFF475VMR/@@download/ENCFF475VMR.bed.gz	eGFP-NR4A1	K562 genetically modified using stable transfection	eGFP-NR4A1 ChIP-seq on human K562
