file_id	accession	dataset	genome_assembly	output_type	technical_replicates	biological_replicates	download_url	linecount	target_label	biosample_short_name	mod_or_treament	lab	biosample_summary	description	biosample_accession	biosample_ontology_id	biosample_treatments	biosample_applied_mods	biosample_genetic_mods
/files/ENCFF002ZPW/	ENCFF002ZPW	/experiments/ENCSR000DRR/	GRCh38	peaks and background as input for IDR	1_1,2_1	1,2	/files/ENCFF002ZPW/@@download/ENCFF002ZPW.bed.gz	300000	CTCF	GM12874	no-mod-or-treatment	john-stamatoyannopoulos	GM12874	CTCF ChIP-seq on human GM12874	ENCBS790RFB,ENCBS218AAA	EFO:0001161	0	0	0
/files/ENCFF002ZRH/	ENCFF002ZRH	/experiments/ENCSR807BGP/	GRCh38	peaks and background as input for IDR	1_1,2_1	1,2	/files/ENCFF002ZRH/@@download/ENCFF002ZRH.bed.gz	300000	MTA1	K562	no-mod-or-treatment	michael-snyder	K562	MTA1 ChIP-seq on human K562	ENCBS207UAM,ENCBS697XFI	EFO:0002067	0	0	0
/files/ENCFF003OCH/	ENCFF003OCH	/experiments/ENCSR000BOV/	GRCh38	optimal idr thresholded peaks	1_1,2_1	1,2	/files/ENCFF003OCH/@@download/ENCFF003OCH.bed.gz	26932	POLR2AphosphoS5	Panc1	no-mod-or-treatment	richard-myers	Panc1	POLR2AphosphoS5 ChIP-seq protocol v041610.1 on human PANC-1	ENCBS425ENC	EFO:0002713	0	0	0
/files/ENCFF003VDB/	ENCFF003VDB	/experiments/ENCSR778UBR/	GRCh38	optimal idr thresholded peaks	5_1,6_1	5,6	/files/ENCFF003VDB/@@download/ENCFF003VDB.bed.gz	22623	ARID3A	GM12878	no-mod-or-treatment	michael-snyder	GM12878	ARID3A ChIP-seq on human GM12878	ENCBS594YOH,ENCBS519VWT	EFO:0002784	0	0	0
/files/ENCFF003ZGQ/	ENCFF003ZGQ	/experiments/ENCSR185FOY/	GRCh38	peaks and background as input for IDR	1_1,2_1	1,2	/files/ENCFF003ZGQ/@@download/ENCFF003ZGQ.bed.gz	300000	eGFP-ZNF341	HEK293	has-mod-or-treatment	michael-snyder	HEK293 genetically modified using site-specific recombination originated from HEK293	eGFP-ZNF341 ChIP-seq on human HEK293 cells.	ENCBS015PWI,ENCBS020GOD	EFO:0001182	0	1	1
/files/ENCFF004CAC/	ENCFF004CAC	/experiments/ENCSR948VFL/	GRCh38	peaks and background as input for IDR	1_1,2_1	1,2	/files/ENCFF004CAC/@@download/ENCFF004CAC.bed.gz	300000	IKZF1	K562	no-mod-or-treatment	michael-snyder	K562	IKZF1 ChIP-seq on human K562	ENCBS465MWC,ENCBS406RFF	EFO:0002067	0	0	0
/files/ENCFF004ECM/	ENCFF004ECM	/experiments/ENCSR430JGJ/	GRCh38	peaks and background as input for IDR	1_1,2_1	1,2	/files/ENCFF004ECM/@@download/ENCFF004ECM.bed.gz	300000	3xFLAG-THRB	HepG2	has-mod-or-treatment	richard-myers	HepG2 genetically modified using CRISPR	Chip-Seq on HepG2	ENCBS758SOE,ENCBS179RGX	EFO:0001187	0	1	1
/files/ENCFF004JFD/	ENCFF004JFD	/experiments/ENCSR103GAK/	GRCh38	optimal idr thresholded peaks	1_1,2_1	1,2	/files/ENCFF004JFD/@@download/ENCFF004JFD.bed.gz	993	eGFP-ZNF175	HEK293	has-mod-or-treatment	michael-snyder	HEK293 genetically modified using site-specific recombination originated from HEK293	eGFP-ZNF175 ChIP-seq on human HEK293 cells.	ENCBS558YVE,ENCBS632ODA	EFO:0001182	0	1	1
/files/ENCFF004JYI/	ENCFF004JYI	/experiments/ENCSR563FBT/	GRCh38	peaks and background as input for IDR	2_1,3_1	2,3	/files/ENCFF004JYI/@@download/ENCFF004JYI.bed.gz	300000	USF2	A549	no-mod-or-treatment	michael-snyder	A549	USF2 ChIP-seq on human A549	ENCBS611JSC,ENCBS848SUF	EFO:0001086	0	0	0
/files/ENCFF004WGM/	ENCFF004WGM	/experiments/ENCSR261EDU/	GRCh38	peaks and background as input for IDR	1_1,2_1	1,2	/files/ENCFF004WGM/@@download/ENCFF004WGM.bed.gz	300000	MNT	HepG2	no-mod-or-treatment	michael-snyder	HepG2	MNT ChIP-seq on human HepG2	ENCBS731WFK,ENCBS591PPP	EFO:0001187	0	0	0
/files/ENCFF005JKU/	ENCFF005JKU	/experiments/ENCSR000DZS/	GRCh38	optimal idr thresholded peaks	1_1,2_1	1,2	/files/ENCFF005JKU/@@download/ENCFF005JKU.bed.gz	1903	BRCA1	GM12878	no-mod-or-treatment	michael-snyder	GM12878	BRCA1 ChIP-seq on human GM12878 produced by the Snyder lab	ENCBS630AAA	EFO:0002784	0	0	0
/files/ENCFF005VFG/	ENCFF005VFG	/experiments/ENCSR000BQZ/	GRCh38	peaks and background as input for IDR	1_1,2_1	1,2	/files/ENCFF005VFG/@@download/ENCFF005VFG.bed.gz	300000	STAT5A	GM12878	no-mod-or-treatment	richard-myers	GM12878	STAT5A ChIP-seq protocol v042211.1 on human GM12878	ENCBS110ENC	EFO:0002784	0	0	0
/files/ENCFF007EEV/	ENCFF007EEV	/experiments/ENCSR099NCH/	GRCh38	optimal idr thresholded peaks	1_1,2_1	1,2	/files/ENCFF007EEV/@@download/ENCFF007EEV.bed.gz	26550	ZNF24	K562	no-mod-or-treatment	michael-snyder	K562	ZNF24 ChIP-seq on human K562	ENCBS831ATS,ENCBS344LIE	EFO:0002067	0	0	0
/files/ENCFF007LHN/	ENCFF007LHN	/experiments/ENCSR294JWV/	GRCh38	peaks and background as input for IDR	2_1,3_1	2,3	/files/ENCFF007LHN/@@download/ENCFF007LHN.bed.gz	300000	ZFP36	A549	no-mod-or-treatment	michael-snyder	A549	ZFP36 ChIP-seq on human A549	ENCBS611JSC,ENCBS848SUF	EFO:0001086	0	0	0
/files/ENCFF007LIV/	ENCFF007LIV	/experiments/ENCSR224QDY/	GRCh38	peaks and background as input for IDR	1_1,2_1	1,2	/files/ENCFF007LIV/@@download/ENCFF007LIV.bed.gz	300000	eGFP-ZNF121	HEK293	has-mod-or-treatment	michael-snyder	HEK293 genetically modified using site-specific recombination originated from HEK293	eGFP-ZNF121 ChIP-seq on human HEK293 cells.	ENCBS557JBD,ENCBS258CDJ	EFO:0001182	0	1	1
/files/ENCFF007ZUL/	ENCFF007ZUL	/experiments/ENCSR798ILC/	GRCh38	optimal idr thresholded peaks	1_1,2_1	1,2	/files/ENCFF007ZUL/@@download/ENCFF007ZUL.bed.gz	28110	NCOR1	K562	no-mod-or-treatment	michael-snyder	K562	NCOR1 ChIP-seq on human K562	ENCBS288EEL,ENCBS697XFI	EFO:0002067	0	0	0
